Months Since Policy Inception,Months Since Last Claim,Number of Policies,Monthly Premium Auto,Number of Open Complaints
47,34,2,71,2
28,14,1,79,0
62,0,2,107,0
38,5,8,78,5
94,9,2,73,0
78,28,1,80,0
94,27,2,96,0
75,4,2,68,0
32,24,2,117,0
41,11,2,76,0
59,0,2,62,0
29,3,9,69,0
42,11,4,151,0
63,10,1,78,0
36,34,2,106,1
51,14,3,67,0
48,6,2,61,0
48,19,2,95,0
62,29,5,213,0
27,23,1,65,0
31,6,1,105,1
56,7,1,66,0
41,7,9,66,2
31,10,5,62,0
38,34,1,66,0
28,9,2,64,1
21,18,1,95,0
55,13,6,61,0
54,3,1,95,0
50,19,2,67,0
43,3,2,101,1
69,31,6,66,4
47,4,2,73,0
31,15,1,93,3
79,8,1,99,0
29,27,2,113,0
75,17,1,62,0
34,16,1,63,0
39,8,1,128,0
12,4,2,74,4
50,7,1,74,0
63,4,7,90,0
56,14,1,63,2
3,28,1,71,0
83,2,1,108,0
13,14,2,104,1
95,24,1,92,4
37,4,2,92,1
44,1,1,68,0
37,27,6,119,2
57,17,5,71,0
46,11,1,68,2
20,11,2,63,0
33,5,7,70,1
73,23,1,65,0
75,5,4,109,0
14,13,1,63,0
15,24,1,73,0
25,7,3,111,0
72,17,8,76,0
22,23,2,74,0
56,1,1,69,0
12,25,8,112,0
58,12,1,117,0
3,4,3,83,0
70,29,1,145,0
89,12,1,69,0
21,25,6,70,0
26,29,3,185,0
55,16,1,61,0
72,17,8,76,0
91,17,2,102,0
43,31,2,61,0
69,33,3,84,0
76,4,2,71,0
17,35,1,74,1
1,35,2,136,0
16,9,2,138,1
74,2,3,107,0
57,1,3,131,0
23,26,2,84,0
47,21,9,72,0
38,14,1,94,1
73,29,7,95,3
47,32,9,113,0
49,30,6,70,0
13,19,3,102,0
54,23,1,117,2
69,0,1,71,0
98,11,2,69,2
77,9,1,62,0
36,26,4,118,0
39,14,1,69,0
57,0,1,111,2
54,6,1,131,0
97,16,8,61,0
54,7,7,131,0
90,23,1,63,0
66,22,3,94,0
94,5,8,121,0
46,9,2,68,0
73,4,1,62,0
50,6,1,74,1
72,3,1,95,2
89,13,1,91,0
33,13,1,84,0
99,3,1,94,0
4,17,3,79,0
41,25,3,69,0
72,28,2,67,0
41,3,2,69,0
80,5,6,64,0
46,7,1,117,0
95,14,1,125,0
33,5,1,188,0
33,1,1,82,0
11,34,2,102,0
49,22,1,67,0
0,8,9,129,0
61,2,3,112,0
52,6,1,132,0
96,29,2,114,0
8,30,1,73,0
27,3,5,99,1
31,26,2,81,0
63,14,1,108,0
20,8,7,287,3
30,8,8,71,0
77,12,4,99,0
19,13,1,85,0
80,25,1,64,0
55,33,2,114,0
43,3,2,101,1
23,24,1,100,0
45,7,2,69,1
33,14,1,74,0
82,28,2,63,0
50,2,1,81,2
0,16,1,65,0
6,13,2,62,5
84,3,2,79,0
55,4,1,72,0
70,10,2,92,2
58,15,1,65,0
68,21,1,180,0
94,15,2,64,0
69,30,1,71,1
93,16,1,65,0
72,0,7,111,0
89,25,2,119,0
59,5,1,196,2
67,15,5,192,0
10,9,7,62,2
9,17,3,136,0
83,33,6,67,0
80,31,1,73,1
33,19,4,66,0
29,14,2,72,0
98,8,2,62,0
53,20,2,66,0
61,17,2,104,0
78,13,1,102,0
68,24,1,297,0
64,8,1,86,0
68,32,2,61,0
30,6,3,244,0
28,20,1,63,0
57,5,3,65,0
97,20,2,153,0
55,3,1,82,2
54,25,3,106,1
2,19,2,68,3
12,26,9,82,0
64,23,2,74,0
22,19,5,102,0
27,33,2,82,0
71,2,9,77,0
71,18,9,66,0
60,7,8,109,0
17,12,6,95,1
15,18,8,61,0
48,28,1,112,0
21,33,2,109,0
49,23,2,112,0
32,3,1,101,0
3,5,2,102,0
45,15,1,66,0
26,10,1,125,0
52,19,1,107,0
99,1,2,93,0
91,15,2,72,2
56,20,6,110,0
42,14,3,138,0
45,16,1,62,0
93,2,3,109,0
3,33,1,62,1
63,9,1,64,0
37,14,3,107,0
13,16,1,91,0
1,7,2,71,0
63,31,6,88,0
3,11,1,112,0
11,0,2,201,0
10,0,1,66,0
70,12,3,72,0
74,6,1,110,0
73,15,2,69,0
90,11,5,102,0
61,6,1,70,0
75,19,3,62,0
62,28,1,192,0
27,19,8,118,0
37,4,1,68,0
38,2,1,92,0
50,18,1,137,0
91,18,1,118,0
56,17,3,89,0
4,19,2,85,0
80,18,3,115,1
1,30,1,132,1
17,14,9,80,0
9,16,3,107,1
53,32,7,66,0
35,0,7,116,0
86,0,3,70,0
60,1,1,65,0
25,21,1,91,0
64,31,1,62,0
56,11,5,73,0
0,15,9,137,0
27,6,1,66,0
70,16,2,149,0
14,20,4,146,0
61,10,2,64,0
98,4,6,105,0
95,10,3,66,0
90,28,5,189,0
97,15,1,71,0
18,28,1,86,0
43,7,5,66,1
96,27,2,97,0
91,26,7,88,0
32,18,1,73,0
50,32,1,111,1
69,21,7,68,0
4,6,7,66,0
94,0,3,161,0
95,13,1,71,0
63,11,8,115,0
28,3,2,104,1
9,0,2,113,3
6,1,2,72,2
51,1,9,72,0
32,30,2,86,0
93,22,2,89,0
57,24,1,110,0
78,8,9,61,0
83,4,7,68,0
43,7,7,67,0
67,3,3,196,0
66,13,2,70,0
7,4,6,119,0
91,0,1,119,0
93,21,1,62,0
14,15,4,72,1
27,23,1,65,0
20,21,3,92,0
17,5,2,117,0
3,0,3,65,0
17,9,2,64,0
86,5,9,73,0
18,9,1,107,0
40,9,7,79,0
81,27,5,71,0
47,24,6,64,0
61,2,6,94,0
14,10,1,113,0
94,1,5,84,0
71,12,1,86,0
36,11,6,77,0
78,35,1,110,1
32,10,1,106,0
16,17,2,95,0
72,17,3,67,0
52,2,1,64,0
50,21,3,70,0
89,16,1,87,0
44,6,1,125,0
23,16,5,94,0
45,23,4,109,0
64,17,3,73,0
50,0,6,72,0
52,6,2,126,0
69,1,1,90,0
25,4,1,92,1
18,15,2,72,0
99,31,9,65,0
60,20,1,235,0
67,15,1,63,0
58,21,3,72,0
70,8,1,109,0
35,20,1,72,0
67,6,3,87,0
50,20,3,64,0
65,17,4,69,0
56,17,4,103,0
50,16,2,69,0
4,20,1,83,0
71,33,8,69,1
90,2,1,61,0
72,20,2,66,0
54,3,1,95,0
81,13,3,72,0
38,17,3,67,0
73,18,1,71,0
66,0,1,63,0
10,24,4,117,0
63,25,3,91,0
3,8,4,95,0
21,23,2,116,0
29,6,1,69,1
9,11,2,119,0
28,6,2,80,0
79,27,8,111,1
14,4,1,196,0
55,6,7,74,1
67,21,8,83,0
88,14,5,66,1
82,33,1,70,3
6,34,3,113,0
17,10,2,82,1
84,31,2,130,0
73,23,1,65,0
57,17,5,67,0
64,17,8,95,0
97,5,2,104,3
8,10,1,65,0
52,0,1,67,0
31,16,9,72,0
25,23,8,110,1
44,17,2,61,0
19,8,2,71,3
95,21,8,98,3
31,16,9,72,0
35,29,2,103,0
63,16,8,114,0
27,1,2,65,0
18,19,1,78,0
9,1,1,63,0
22,30,7,89,0
50,22,1,104,0
74,33,1,117,0
60,9,4,61,0
34,17,1,73,2
70,16,1,109,1
34,5,2,67,1
22,2,8,82,1
96,9,2,64,2
67,0,3,70,0
91,16,3,76,0
22,2,1,71,0
89,26,6,91,0
79,8,4,74,0
80,2,1,127,0
15,25,1,62,0
89,25,2,119,0
47,31,5,61,0
61,17,2,104,0
29,29,9,107,0
45,10,1,63,2
99,15,3,70,0
41,22,3,67,0
15,6,1,73,0
31,1,2,126,0
34,27,2,83,1
3,22,1,62,0
48,0,5,68,1
48,8,5,70,0
42,33,1,107,0
78,3,2,183,0
57,16,2,68,0
86,4,8,64,0
21,7,1,68,0
60,4,3,92,0
71,6,1,66,2
13,0,9,67,0
55,12,5,111,0
64,5,2,69,0
15,12,2,69,0
83,15,1,124,0
77,6,2,86,0
33,26,1,64,0
37,23,6,71,0
9,16,3,66,0
50,16,1,139,0
75,6,1,113,0
62,22,2,71,0
75,5,1,74,0
34,17,2,67,0
92,3,1,69,0
39,30,7,73,0
38,6,1,78,0
10,14,1,139,0
89,17,5,125,0
19,16,9,95,0
92,18,1,62,4
57,20,2,268,0
24,31,2,78,0
29,16,1,171,0
60,23,2,81,0
91,13,2,67,0
31,32,3,70,0
65,12,3,82,0
47,6,3,62,0
45,8,1,119,0
43,3,2,101,1
24,14,2,76,0
30,5,1,182,0
61,10,6,106,0
19,7,3,73,4
91,7,2,93,0
34,12,8,115,0
61,0,2,138,0
85,31,3,71,0
85,6,2,73,0
50,6,1,130,0
92,20,5,71,0
12,1,4,65,0
78,12,2,71,0
88,0,1,211,4
53,12,2,66,0
66,0,7,192,0
14,22,2,72,0
12,6,1,187,0
90,17,2,98,0
2,18,9,74,0
33,3,3,71,0
26,13,2,68,0
49,26,1,99,1
0,21,1,71,0
84,13,1,65,0
11,8,3,106,0
34,22,2,65,0
25,26,1,95,0
91,19,1,129,0
42,3,2,63,0
56,11,5,107,0
70,6,3,72,0
43,24,1,102,0
0,3,6,67,0
58,3,5,61,0
44,19,1,61,0
96,15,1,100,1
56,15,2,70,2
8,21,3,93,0
45,0,7,113,2
49,28,1,124,0
2,4,2,99,1
58,9,7,104,0
93,3,4,64,0
11,26,1,92,4
12,34,3,64,0
67,29,7,74,0
38,3,3,71,0
93,22,2,89,0
46,4,7,107,0
37,30,2,74,0
9,1,6,84,0
61,8,2,235,1
69,31,6,66,4
65,2,1,68,3
95,1,2,115,0
95,7,1,113,1
45,11,2,71,0
82,12,2,67,0
43,22,1,68,0
72,23,3,66,1
79,21,1,73,0
29,35,7,96,0
44,28,5,73,0
4,19,1,74,0
97,3,3,116,0
37,3,5,121,0
50,19,2,67,0
4,7,2,94,0
64,12,3,61,1
29,26,5,92,0
76,11,5,73,0
29,5,4,70,0
78,8,4,83,0
68,23,2,64,0
91,33,1,276,0
35,6,3,92,0
33,9,4,62,1
62,26,3,62,0
46,11,1,168,0
33,25,1,104,3
37,14,1,127,0
45,26,3,97,0
26,19,2,66,0
23,28,1,107,1
96,26,2,102,3
9,14,1,139,1
93,24,9,65,0
31,16,9,72,0
57,7,3,131,0
25,22,1,185,0
24,11,6,69,0
61,3,2,96,0
90,15,2,101,0
5,19,1,67,0
17,9,1,99,0
24,14,2,62,0
95,5,2,74,0
54,23,1,61,0
2,35,3,74,0
68,34,4,68,0
40,22,2,100,2
34,28,6,101,0
25,18,7,72,1
86,23,2,70,0
32,20,1,83,0
95,14,1,67,0
76,3,2,118,0
89,16,2,74,1
5,21,1,64,0
35,16,1,66,4
9,2,2,111,0
15,31,7,198,0
2,19,2,68,3
2,5,1,70,0
43,25,1,88,0
46,27,1,70,0
18,19,1,78,0
3,8,2,62,0
40,3,5,84,0
51,27,1,66,0
27,29,7,141,0
40,2,5,137,0
3,6,1,87,0
66,20,2,68,1
99,1,2,61,0
7,12,3,104,0
80,5,6,64,0
12,2,1,106,0
72,26,2,64,0
17,27,3,65,0
90,18,2,83,1
73,24,1,68,0
28,23,2,112,1
27,24,8,93,0
63,3,2,74,0
74,0,1,107,0
19,33,1,69,1
93,6,3,71,1
21,22,2,73,0
19,11,4,130,0
99,31,1,63,1
17,7,1,70,3
83,14,3,101,0
11,10,8,79,0
64,7,1,74,0
15,11,2,65,0
25,14,1,70,0
17,1,1,102,0
41,2,1,135,1
29,31,7,76,0
62,11,1,65,0
40,6,1,79,0
15,28,1,69,0
74,6,1,110,0
63,20,6,87,0
35,5,1,96,0
79,1,4,69,0
89,20,9,77,0
17,14,5,65,0
81,10,1,80,0
75,14,2,98,0
22,30,7,65,0
82,29,1,104,0
75,12,2,61,1
6,6,5,117,4
70,4,4,113,0
27,3,1,77,1
34,1,2,242,0
19,23,2,64,0
97,24,2,68,0
99,7,2,99,0
1,2,1,101,0
51,19,1,83,0
95,24,1,92,4
29,25,3,71,0
63,20,5,63,0
43,9,2,130,0
10,17,7,63,0
59,32,2,89,0
96,9,2,70,0
55,13,2,111,0
44,26,1,127,0
37,9,9,67,1
24,33,1,154,0
25,16,5,64,1
47,28,3,74,0
47,12,2,121,0
84,7,8,123,0
79,18,2,107,0
21,5,1,61,0
48,27,6,71,0
2,34,2,84,0
9,7,8,133,0
63,6,1,116,0
1,12,2,101,0
68,26,2,103,1
38,30,7,193,0
88,19,8,69,0
43,23,8,64,0
81,28,1,116,0
48,14,9,99,2
39,13,6,117,0
31,2,2,102,0
91,1,4,64,0
85,27,2,91,0
76,29,1,111,0
56,34,2,71,0
44,20,9,113,0
34,6,3,72,4
63,30,1,98,0
24,32,1,186,1
34,18,1,69,0
19,23,1,66,0
45,25,1,61,1
14,6,3,106,0
96,19,1,98,1
10,10,1,73,0
24,7,1,210,2
32,3,1,71,0
24,7,8,69,4
47,30,1,170,0
61,6,2,125,0
37,16,3,71,0
59,14,3,71,1
16,8,4,100,1
60,8,3,122,0
10,28,2,70,2
63,29,2,116,0
95,18,3,93,0
39,9,1,104,0
24,7,1,210,2
8,24,2,64,0
14,35,2,73,0
12,24,1,65,0
75,2,6,114,0
21,23,2,116,0
28,34,3,135,1
58,35,1,143,0
44,15,1,78,0
0,29,5,133,1
37,4,3,101,0
88,34,7,85,0
57,25,2,99,5
43,9,4,102,2
23,30,1,103,2
77,10,2,102,0
70,10,2,96,0
52,35,5,73,3
52,29,2,108,0
28,21,2,71,0
27,33,1,73,0
47,34,7,64,0
76,13,2,70,0
19,19,5,68,0
13,20,4,70,0
88,2,1,96,0
68,35,1,111,0
29,13,1,104,0
11,8,1,66,0
69,10,1,82,0
64,16,1,121,0
13,25,3,101,2
34,8,1,70,0
61,6,2,125,0
24,13,1,71,0
34,27,1,64,0
81,9,3,65,0
84,18,2,90,0
11,14,6,62,0
60,12,1,175,0
10,24,9,114,3
57,7,1,108,0
21,1,2,63,0
51,12,2,72,1
40,2,5,137,0
10,5,8,80,0
32,34,1,67,0
96,22,1,63,0
61,17,2,104,0
93,15,5,113,0
52,4,2,88,0
57,29,5,69,0
87,35,1,73,1
38,7,1,61,0
98,26,1,62,0
6,12,2,106,0
13,19,8,63,0
49,30,3,101,0
74,2,3,107,0
75,1,1,132,0
27,17,8,76,0
85,15,1,83,1
1,12,9,83,2
35,32,2,71,0
8,32,9,82,1
80,25,9,103,0
37,3,8,84,3
19,3,2,109,0
70,3,1,114,0
28,13,2,108,0
32,29,1,74,0
79,25,2,61,0
96,20,2,114,1
25,31,8,82,0
90,28,5,96,5
8,7,3,67,3
76,11,2,74,4
3,13,2,71,0
41,0,2,74,0
46,26,2,199,0
31,21,3,73,0
44,11,3,61,0
68,8,1,66,0
9,1,6,84,0
70,14,4,180,0
89,17,1,83,2
62,23,3,74,0
41,0,1,81,0
99,26,3,94,0
81,0,2,100,0
57,12,1,65,2
43,2,3,88,0
86,8,7,119,0
59,18,2,67,0
28,6,2,103,0
36,2,1,74,0
4,7,1,99,0
78,14,7,137,0
33,26,3,82,0
72,9,2,103,0
5,17,8,73,2
56,25,2,73,0
62,9,8,155,1
38,3,1,94,0
24,22,7,67,0
11,15,2,122,0
72,3,1,83,3
19,21,2,65,0
36,12,2,72,0
54,8,3,102,0
28,14,1,79,0
2,8,1,125,4
67,4,9,68,0
47,30,6,197,1
14,23,8,66,1
79,9,1,76,3
28,5,6,223,1
59,21,3,129,0
68,12,2,65,1
84,0,3,77,0
6,29,1,165,2
24,32,1,113,0
44,11,5,69,0
11,13,9,68,0
60,3,7,97,1
86,29,1,72,0
71,25,6,96,0
87,12,6,71,0
52,27,7,63,0
93,22,2,89,0
77,34,4,137,0
54,25,3,106,1
38,8,2,79,0
85,5,4,73,0
17,7,1,66,0
48,8,1,61,0
48,35,2,102,0
13,4,1,62,0
20,14,3,90,0
7,29,2,104,0
64,19,1,71,1
22,28,5,67,0
79,27,9,80,0
21,4,1,215,1
91,8,9,66,0
26,13,5,70,0
39,34,2,92,1
85,1,2,126,4
66,1,2,97,0
79,5,1,63,0
35,21,4,99,1
64,10,5,113,0
76,1,1,116,1
47,3,2,164,1
52,12,2,91,0
2,27,1,122,0
67,6,8,72,0
81,20,9,70,0
36,35,2,73,0
89,27,3,66,0
43,25,1,88,0
49,22,2,70,0
42,17,1,87,0
36,1,4,80,0
75,13,2,70,0
37,26,1,84,0
3,28,8,93,0
84,18,2,90,0
94,32,1,63,0
72,15,9,105,0
30,27,2,110,0
91,33,1,276,0
29,24,2,87,0
20,17,1,70,5
98,10,2,73,0
92,9,6,69,0
10,10,5,117,0
27,25,1,101,4
70,16,1,114,1
8,10,1,97,0
70,7,6,106,0
26,15,3,65,0
10,20,2,121,0
97,10,3,62,0
48,6,2,61,0
55,13,9,93,0
92,24,5,64,0
43,9,4,113,0
91,33,1,276,0
49,6,3,89,1
91,8,1,61,0
70,2,2,87,0
86,13,1,180,2
39,35,8,186,1
80,18,7,64,0
4,7,2,107,0
77,22,3,94,0
93,35,1,136,0
55,15,3,90,0
32,29,3,65,0
6,23,1,172,0
3,35,6,100,0
82,11,4,88,3
86,0,1,135,0
58,15,1,65,0
5,11,2,69,0
52,7,9,61,0
5,18,3,123,0
21,29,2,77,0
96,30,1,71,0
7,19,9,65,0
33,13,2,132,0
87,5,3,105,0
36,8,4,74,0
61,20,1,61,0
66,3,2,69,0
31,22,8,92,0
14,19,8,82,2
38,8,9,69,0
76,23,4,86,0
2,28,6,67,0
15,26,3,103,0
32,21,7,72,0
96,19,1,98,1
21,4,1,215,1
77,32,1,113,0
35,0,1,110,0
64,2,2,116,0
70,12,9,118,1
63,19,1,166,0
93,0,1,66,1
62,6,1,110,0
37,11,6,71,0
96,17,5,80,0
76,15,1,110,0
73,23,1,65,0
17,4,1,72,0
45,3,4,62,0
80,5,6,64,0
19,19,3,74,0
74,13,1,69,0
44,6,2,62,1
92,0,3,70,0
77,17,2,68,0
82,0,2,102,3
85,27,2,69,1
4,32,2,91,0
20,13,5,95,0
73,13,3,117,0
71,15,7,212,0
66,27,2,106,0
51,26,1,74,0
4,14,4,105,0
43,10,4,87,0
96,11,1,67,0
54,21,3,199,0
45,4,1,71,0
86,12,2,249,0
77,6,4,134,3
44,25,1,84,0
5,8,1,65,0
89,10,2,116,0
2,24,2,61,0
80,15,1,116,0
36,24,1,117,0
29,1,1,109,0
79,1,2,105,0
68,26,3,117,0
98,19,4,94,2
54,6,1,66,2
53,7,4,91,0
68,7,1,128,3
97,27,1,125,4
16,13,1,181,0
35,4,2,139,0
72,3,1,83,3
61,8,2,72,0
7,34,2,187,0
47,24,3,73,0
18,9,1,107,0
59,3,9,111,0
61,7,3,136,2
49,19,9,69,0
32,12,1,66,0
27,32,3,84,2
20,8,7,62,0
3,20,2,74,0
30,27,1,64,0
56,25,4,63,1
55,14,1,72,0
8,18,6,86,0
83,1,1,101,4
86,8,2,68,0
86,30,3,111,0
42,15,3,129,0
60,17,2,69,0
16,9,1,61,1
93,2,8,64,0
85,15,1,122,0
58,3,2,240,0
4,9,1,106,0
86,11,5,196,0
56,1,3,64,0
35,3,4,63,4
5,17,2,84,0
98,35,7,123,0
25,24,2,93,0
37,32,5,78,0
83,8,1,89,4
30,3,2,67,2
84,2,5,105,0
4,20,1,71,0
1,16,1,102,1
7,11,8,189,0
28,19,3,63,1
39,17,5,107,0
40,11,6,113,0
61,16,1,62,0
95,6,1,70,2
43,18,6,101,0
18,19,1,78,0
48,6,2,61,0
79,14,1,103,0
71,15,1,134,0
6,4,2,67,0
35,35,1,68,0
7,15,2,62,0
36,18,2,181,0
96,30,9,66,1
94,15,1,79,0
33,2,2,68,0
18,19,1,78,0
72,15,2,73,0
27,14,2,76,0
67,4,1,106,0
0,16,1,99,2
79,22,8,181,0
90,8,1,96,0
7,6,8,72,1
93,21,1,68,0
4,23,1,80,0
38,23,4,66,0
2,21,5,84,1
82,22,2,79,0
34,31,1,96,0
86,28,1,68,1
42,14,2,115,0
13,4,1,85,0
41,17,9,117,1
6,5,2,100,0
31,22,1,74,0
40,9,5,72,0
58,4,1,62,1
99,6,9,74,0
30,27,2,109,0
55,16,1,61,0
47,35,1,73,0
90,20,2,72,0
20,15,1,68,0
51,22,8,106,1
89,25,1,68,3
39,15,1,106,0
12,3,5,62,0
35,8,1,103,0
66,23,1,69,0
64,2,2,84,1
71,9,2,108,0
39,33,3,71,1
37,11,3,117,0
20,27,1,85,0
35,7,3,61,0
35,0,2,114,0
2,7,1,79,1
13,9,3,63,0
86,11,1,113,0
62,1,8,72,0
2,27,2,61,1
38,33,2,91,0
45,18,5,73,0
45,2,7,114,0
87,21,2,66,3
38,5,9,72,0
94,6,2,68,0
21,27,2,72,2
7,35,2,71,1
92,4,2,113,0
94,1,1,122,0
99,5,1,225,0
51,21,5,71,4
32,0,7,69,0
83,1,9,74,0
65,6,2,86,3
49,28,1,124,0
22,0,2,63,0
38,12,1,137,0
61,34,3,117,0
74,25,4,67,0
42,16,2,63,0
38,29,1,73,0
40,28,2,62,0
17,9,1,99,0
35,4,1,65,0
29,10,2,76,0
64,12,8,70,2
90,5,2,113,0
29,16,1,61,0
32,27,5,64,3
68,5,9,65,3
71,26,1,61,0
97,11,1,76,0
19,4,1,71,0
50,4,2,127,0
15,12,1,130,0
84,34,4,66,0
85,9,3,66,0
92,12,5,199,0
68,22,1,192,1
65,4,1,77,0
15,14,7,78,1
27,27,3,117,0
46,27,4,112,0
89,7,2,92,0
83,31,1,118,0
28,1,9,110,0
73,2,8,65,0
67,29,2,201,0
72,5,3,100,0
17,15,4,85,0
28,31,1,85,0
33,19,3,74,0
5,3,6,63,0
38,14,2,74,0
3,10,2,97,0
85,5,4,73,0
9,20,6,116,2
45,4,6,102,0
87,14,7,119,0
83,15,1,80,0
99,32,1,89,0
78,34,1,102,1
41,0,1,81,0
98,24,5,74,0
31,7,1,71,0
28,6,2,116,0
56,21,2,245,0
13,34,1,69,1
81,29,1,98,0
42,13,1,106,0
35,21,3,86,0
3,11,1,72,0
56,0,3,64,0
95,18,2,106,0
25,1,4,100,0
22,5,8,118,0
1,7,1,84,0
52,29,8,74,0
48,33,2,68,0
31,5,3,119,0
42,32,3,61,0
85,11,1,193,0
59,27,1,97,0
9,5,1,68,0
86,15,8,124,0
87,8,7,73,0
33,31,3,77,0
45,12,1,116,0
62,18,3,131,1
69,11,2,295,0
53,17,6,111,2
11,16,1,131,0
76,31,1,111,0
19,27,2,81,0
55,6,1,79,0
0,23,3,69,0
48,28,1,65,0
38,7,1,61,0
62,0,3,68,0
12,21,1,63,0
83,16,2,108,0
70,12,1,113,3
90,11,4,68,0
20,33,1,118,0
58,22,5,72,0
23,8,8,116,0
58,12,2,70,0
11,31,1,73,0
11,4,2,117,0
78,9,1,67,0
6,29,1,191,0
67,30,2,92,0
76,0,4,84,0
83,10,8,114,0
97,6,7,119,0
67,6,3,98,0
61,6,1,74,0
87,13,7,82,0
84,2,3,187,0
19,16,1,77,0
37,10,9,70,0
97,10,9,113,0
20,15,3,106,0
13,0,9,67,0
26,15,3,65,0
88,25,2,116,1
8,15,1,83,0
28,27,3,66,0
50,16,1,139,0
78,29,1,63,0
77,4,1,73,0
15,25,7,199,0
76,27,1,186,2
58,18,1,67,0
24,31,1,92,1
97,14,1,123,0
49,3,6,123,0
73,21,1,64,0
40,34,1,85,1
75,26,3,109,0
27,4,1,109,1
67,15,1,63,0
21,32,9,71,2
71,7,9,61,3
1,22,1,72,3
51,9,4,112,0
61,6,2,70,3
35,20,2,71,0
27,22,1,130,0
17,7,3,106,0
23,17,1,119,0
30,35,2,115,0
97,6,9,73,0
7,13,8,90,0
16,7,2,76,0
43,6,1,110,0
0,4,9,69,0
4,20,1,64,0
98,13,1,68,0
78,29,1,73,0
2,18,8,82,0
94,12,8,74,0
81,29,8,79,2
87,0,8,106,0
60,23,3,127,0
4,26,3,67,0
89,4,8,71,0
84,12,1,73,0
78,22,2,115,0
38,16,2,71,0
57,19,3,62,0
90,11,1,72,0
58,12,2,124,0
29,6,1,67,0
63,8,1,73,0
38,10,9,67,0
75,27,9,78,0
15,12,1,130,0
44,20,9,113,0
84,28,1,115,0
17,20,6,76,0
1,17,7,61,1
29,17,1,62,1
30,31,2,62,1
74,34,1,66,0
22,21,2,181,2
30,19,1,96,0
38,31,2,82,0
57,22,9,62,0
88,27,1,109,0
61,29,2,82,1
19,1,1,67,0
59,19,7,239,0
83,10,1,89,0
89,31,5,69,0
46,3,3,102,0
23,16,1,106,0
74,5,1,69,0
29,16,9,125,0
69,4,3,111,0
62,26,2,61,0
47,11,6,107,2
53,2,1,96,0
45,2,2,74,0
56,7,1,66,0
10,24,9,114,3
97,5,8,132,0
93,3,1,117,0
74,0,1,199,0
97,28,1,80,0
28,7,2,66,0
96,19,1,98,1
70,29,1,71,0
62,29,1,71,0
3,0,3,115,0
23,21,7,63,0
72,22,9,110,0
20,3,2,74,0
31,31,2,64,0
50,8,1,103,0
19,28,2,65,0
47,4,2,73,0
76,30,9,118,0
11,4,4,97,0
2,11,1,63,0
31,4,4,68,0
89,8,1,101,0
41,2,3,87,0
86,0,1,69,0
22,19,2,66,0
17,29,4,79,0
9,4,7,82,1
32,0,1,64,0
92,4,3,69,2
53,12,3,62,0
81,6,1,128,0
86,18,4,83,1
20,31,2,110,0
47,35,1,62,2
35,16,9,117,0
71,12,1,66,0
57,33,5,67,0
75,13,1,69,0
44,3,3,108,0
39,22,6,62,0
12,27,3,61,0
8,13,3,70,0
95,23,3,111,0
23,14,6,82,0
17,6,2,89,0
72,30,7,83,0
52,0,1,74,0
0,4,6,64,1
70,16,1,109,1
78,7,5,73,0
59,13,1,66,0
17,1,6,92,0
41,13,5,64,0
19,8,3,115,0
84,14,1,80,0
30,17,4,61,0
44,17,8,110,0
56,4,8,86,0
55,32,8,85,0
60,32,1,64,1
61,4,1,110,0
18,4,5,90,0
31,18,3,72,1
30,32,7,66,0
60,6,1,67,1
9,21,3,108,0
15,31,1,195,0
7,35,1,67,0
31,21,1,70,0
93,12,3,112,0
73,6,7,87,0
69,9,3,72,4
2,32,3,79,0
96,32,4,84,0
95,0,1,180,0
0,17,1,216,0
6,14,3,115,0
92,33,4,74,0
32,15,3,79,0
80,31,1,100,0
59,15,3,87,0
35,18,1,114,0
47,7,2,65,0
78,30,3,117,0
75,15,2,66,0
4,11,1,66,0
79,17,6,71,0
50,8,4,105,0
12,25,4,114,0
75,19,2,159,0
99,7,3,125,0
80,10,3,81,3
16,28,1,110,0
21,24,2,173,0
46,10,4,115,4
79,18,7,83,0
41,32,3,109,0
0,26,3,66,0
45,24,1,182,0
63,18,1,111,0
73,6,2,103,0
65,19,1,104,2
91,0,2,76,0
65,0,4,117,0
71,3,5,109,1
64,3,1,63,0
65,3,3,72,2
46,2,9,65,0
81,25,5,71,0
59,8,1,72,3
22,3,1,69,0
97,20,1,68,5
44,7,1,199,1
38,29,1,106,0
83,23,1,64,0
28,33,2,122,0
3,35,1,87,0
72,33,1,80,0
10,10,2,65,0
41,33,5,63,0
21,2,3,71,1
86,28,3,72,0
63,8,1,86,0
48,10,3,68,0
25,31,7,69,0
78,35,1,65,0
36,7,2,66,0
65,34,1,119,0
88,5,1,61,0
61,8,2,72,1
9,29,1,66,0
97,7,1,65,0
5,10,5,95,0
2,19,1,116,0
1,15,1,88,1
22,22,4,64,0
48,10,2,101,0
9,3,1,92,0
45,1,9,89,2
19,1,2,139,0
87,8,1,196,0
55,6,2,66,2
42,6,1,72,0
82,12,1,105,0
54,11,2,106,0
25,22,1,71,0
19,26,1,90,3
7,10,1,65,0
77,16,3,71,1
26,4,2,67,0
22,0,2,194,0
7,22,1,63,3
21,23,3,91,0
99,31,1,138,0
12,15,2,111,0
59,0,2,133,0
96,21,1,74,0
71,33,2,61,0
55,20,1,103,0
86,35,2,72,0
21,32,2,69,0
44,4,1,67,0
73,1,3,62,0
57,21,1,66,0
16,16,2,69,2
